term,doc1,doc2,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doc10,df,idf
kuliah,1,0,0,0,0,0,0,0,0,0,1,2.7047480922384253
angga,1,0,0,0,0,0,0,0,0,0,1,2.7047480922384253
tugas,1,0,0,0,0,0,0,0,0,0,1,2.7047480922384253
amat,2,0,0,0,0,1,0,0,0,0,2,2.2992829841302607
mereview,1,0,0,0,0,0,0,0,0,0,1,2.7047480922384253
resume,1,0,0,0,0,0,0,0,0,0,1,2.7047480922384253
vidio,1,0,0,0,0,0,0,0,0,0,1,2.7047480922384253
isi,1,0,0,0,0,0,0,0,0,0,1,2.7047480922384253
komputer,1,3,2,3,1,1,4,5,5,5,10,1.0
cpu,1,0,0,0,1,1,5,4,4,4,7,1.3184537311185345
perangkat,1,0,1,1,0,0,0,0,0,0,3,2.01160091167848
temu,0,1,0,1,0,0,0,0,0,0,2,2.2992829841302607
definisi,0,1,1,2,0,0,0,0,0,0,3,2.01160091167848
infrastruktur,0,2,0,0,0,0,0,0,0,0,1,2.7047480922384253
organisasi,0,2,1,2,0,0,0,1,1,1,6,1.4519851237430572
bahas,0,1,0,0,0,0,0,0,0,0,1,2.7047480922384253
beda,0,1,0,0,0,0,0,0,0,0,1,2.7047480922384253
contoh,0,2,1,1,0,0,0,0,0,0,3,2.01160091167848
sedia,0,1,0,0,0,0,0,0,0,0,1,2.7047480922384253
paham,0,1,0,0,0,0,0,1,1,1,4,1.7884573603642702
video,0,1,0,0,1,2,0,1,1,1,6,1.4519851237430572
jalan,0,1,0,0,0,0,0,0,0,0,1,2.7047480922384253
alur,0,1,0,0,0,0,0,0,0,0,1,2.7047480922384253
pemrosesan,0,1,0,0,0,0,0,0,0,0,1,2.7047480922384253
data,0,1,0,0,0,0,0,1,1,0,3,2.01160091167848
input,0,1,0,0,0,0,0,0,0,0,1,2.7047480922384253
output,0,1,0,0,0,0,0,0,1,1,3,2.01160091167848
asal,0,0,1,1,0,0,0,0,0,0,2,2.2992829841302607
computare,0,0,1,1,0,0,0,0,0,0,2,2.2992829841302607
hitung,0,0,2,2,0,0,0,0,0,0,2,2.2992829841302607
bahasa,0,0,1,1,1,1,0,0,0,0,4,1.7884573603642702
